Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
152,a,a,1780.0,0.0,0.0,0,0.0,0.0,0
153,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
154,d,c,16420.0,0.0,0.0,0,0.0,0.0,0
155,d,a,3050.0,0.0,0.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
156,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
157,a,c,2950.0,10.0,2004.0,0,0.0,0.0,0
158,d,c,11840.0,0.0,0.0,1,31.0,2009.0,"Feb,May,Aug,Nov"
159,d,a,8530.0,3.0,2013.0,0,0.0,0.0,0
160,d,c,17110.0,11.0,2005.0,0,0.0,0.0,0
161,a,c,2970.0,3.0,2005.0,0,0.0,0.0,0
162,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
163,a,a,1480.0,4.0,2009.0,0,0.0,0.0,0
164,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
165,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
166,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
167,a,a,140.0,4.0,2008.0,0,0.0,0.0,0
168,a,a,12540.0,0.0,0.0,0,0.0,0.0,0
169,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
170,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
171,a,a,2640.0,0.0,0.0,0,0.0,0.0,0
172,a,a,110.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
173,a,a,350.0,12.0,2012.0,0,0.0,0.0,0
174,a,a,13090.0,0.0,0.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
175,c,a,4130.0,0.0,0.0,0,0.0,0.0,0
176,a,a,3770.0,0.0,0.0,0,0.0,0.0,0
177,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
178,d,a,1710.0,0.0,0.0,0,0.0,0.0,0
179,a,c,480.0,0.0,0.0,0,0.0,0.0,0
180,d,a,5800.0,9.0,2010.0,0,0.0,0.0,0
181,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
182,d,c,1390.0,0.0,0.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
183,a,a,9670.0,0.0,0.0,0,0.0,0.0,0
184,d,c,3560.0,0.0,0.0,0,0.0,0.0,0
185,d,c,1860.0,5.0,2015.0,0,0.0,0.0,0
186,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
187,a,c,19360.0,0.0,0.0,0,0.0,0.0,0
188,d,a,850.0,0.0,0.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
189,d,a,5760.0,7.0,2014.0,0,0.0,0.0,0
190,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
191,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
192,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
193,a,a,520.0,0.0,0.0,0,0.0,0.0,0
194,d,c,16970.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
195,a,c,220.0,0.0,0.0,0,0.0,0.0,0
196,c,a,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
197,c,a,4210.0,3.0,2015.0,0,0.0,0.0,0
198,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
199,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
200,a,a,1650.0,10.0,2000.0,0,0.0,0.0,0
201,d,a,20260.0,0.0,0.0,1,18.0,2014.0,"Mar,Jun,Sept,Dec"
202,d,c,5140.0,5.0,2010.0,0,0.0,0.0,0
203,c,c,490.0,11.0,2002.0,0,0.0,0.0,0
204,a,a,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
205,a,a,110.0,12.0,2007.0,0,0.0,0.0,0
206,a,c,380.0,0.0,0.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
207,a,a,6870.0,0.0,0.0,0,0.0,0.0,0
208,c,a,300.0,4.0,2006.0,0,0.0,0.0,0
209,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
210,d,a,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
211,a,c,350.0,11.0,2006.0,0,0.0,0.0,0
212,a,c,15050.0,9.0,2008.0,0,0.0,0.0,0
213,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
214,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
215,d,a,150.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
216,c,a,190.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
217,c,a,3150.0,0.0,0.0,0,0.0,0.0,0
218,a,c,640.0,0.0,0.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
219,a,a,1640.0,2.0,2013.0,0,0.0,0.0,0
220,a,a,1000.0,9.0,2008.0,0,0.0,0.0,0
221,d,c,13530.0,9.0,2013.0,0,0.0,0.0,0
222,a,a,2170.0,11.0,2008.0,0,0.0,0.0,0
223,d,c,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct"
224,d,c,7930.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
225,d,a,10180.0,5.0,2015.0,0,0.0,0.0,0
226,a,a,450.0,0.0,0.0,0,0.0,0.0,0
227,a,a,2370.0,0.0,0.0,0,0.0,0.0,0
228,d,c,10800.0,0.0,0.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
229,d,c,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
230,d,c,6680.0,9.0,2013.0,0,0.0,0.0,0
231,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov"
232,c,c,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
233,a,a,1890.0,0.0,0.0,0,0.0,0.0,0
234,d,a,4370.0,0.0,0.0,0,0.0,0.0,0
235,a,a,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
236,a,a,1000.0,11.0,2007.0,0,0.0,0.0,0
237,a,a,1420.0,11.0,2007.0,0,0.0,0.0,0
238,a,a,320.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
239,d,c,610.0,0.0,0.0,0,0.0,0.0,0
240,a,a,1110.0,5.0,2009.0,0,0.0,0.0,0
241,d,c,780.0,0.0,0.0,0,0.0,0.0,0
242,d,a,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
243,a,a,310.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
244,d,a,710.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
245,a,c,1310.0,0.0,0.0,0,0.0,0.0,0
246,c,a,4660.0,4.0,2013.0,0,0.0,0.0,0
247,d,c,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
248,a,c,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
249,d,c,18010.0,9.0,2014.0,0,0.0,0.0,0
250,d,a,3520.0,0.0,0.0,1,18.0,2012.0,"Feb,May,Aug,Nov"
251,a,c,340.0,0.0,0.0,0,0.0,0.0,0
252,d,c,22330.0,0.0,0.0,1,5.0,2010.0,"Feb,May,Aug,Nov"
253,a,c,250.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
254,d,a,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
255,c,c,4630.0,3.0,2011.0,1,35.0,2011.0,"Feb,May,Aug,Nov"
256,a,c,80.0,9.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
257,a,a,420.0,12.0,2012.0,0,0.0,0.0,0
258,a,a,27190.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
259,b,b,210.0,0.0,0.0,0,0.0,0.0,0
260,a,a,540.0,10.0,2011.0,0,0.0,0.0,0
261,d,c,15340.0,4.0,2015.0,1,39.0,2009.0,"Jan,Apr,Jul,Oct"
262,b,a,1180.0,5.0,2013.0,0,0.0,0.0,0
263,a,c,1140.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
264,a,a,180.0,3.0,2014.0,0,0.0,0.0,0
265,a,a,4580.0,0.0,0.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
266,a,c,360.0,3.0,2014.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
267,c,a,2460.0,1.0,2012.0,0,0.0,0.0,0
268,a,a,4520.0,2.0,2014.0,0,0.0,0.0,0
269,a,c,60.0,6.0,2015.0,0,0.0,0.0,0
270,a,a,1450.0,7.0,2014.0,0,0.0,0.0,0
271,a,a,420.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
272,a,a,16180.0,7.0,2003.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
273,a,c,8480.0,0.0,0.0,0,0.0,0.0,0
274,b,b,3640.0,0.0,0.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
275,d,a,300.0,5.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
276,a,a,2960.0,10.0,2014.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
277,d,c,7840.0,0.0,0.0,1,31.0,2009.0,"Feb,May,Aug,Nov"
278,a,c,9260.0,2.0,2010.0,0,0.0,0.0,0
279,d,c,2320.0,0.0,0.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
280,d,c,18640.0,9.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
281,d,c,6970.0,9.0,2011.0,0,0.0,0.0,0
282,a,a,1220.0,12.0,2010.0,0,0.0,0.0,0
283,a,a,2260.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
284,d,a,1290.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
285,a,a,2410.0,0.0,0.0,0,0.0,0.0,0
286,a,a,1460.0,4.0,2015.0,0,0.0,0.0,0
287,c,a,2740.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
288,d,a,800.0,0.0,0.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
289,d,a,6540.0,12.0,2007.0,0,0.0,0.0,0
290,a,a,4150.0,5.0,2001.0,0,0.0,0.0,0
291,d,a,2325.0,0.0,0.0,0,0.0,0.0,0
292,a,a,1100.0,6.0,2009.0,0,0.0,0.0,0
293,c,c,140.0,11.0,2007.0,0,0.0,0.0,0
294,a,a,3150.0,5.0,2005.0,0,0.0,0.0,0
295,a,a,210.0,11.0,2000.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
296,a,a,9580.0,5.0,2007.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
297,a,a,2300.0,9.0,2010.0,0,0.0,0.0,0
298,d,a,19840.0,7.0,2009.0,0,0.0,0.0,0
299,d,c,38630.0,9.0,2012.0,0,0.0,0.0,0
300,a,c,120.0,4.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
301,a,c,4510.0,3.0,2015.0,0,0.0,0.0,0
302,d,c,2190.0,12.0,2007.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
303,a,a,15430.0,11.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
304,a,a,1950.0,7.0,2015.0,0,0.0,0.0,0
305,c,c,2470.0,2.0,2005.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec"
306,a,a,5100.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
307,a,a,18660.0,9.0,2002.0,0,0.0,0.0,0
308,a,a,1070.0,12.0,2006.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
309,d,a,8740.0,0.0,0.0,1,37.0,2009.0,"Feb,May,Aug,Nov"
310,a,c,2290.0,0.0,0.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
311,a,c,680.0,7.0,2005.0,0,0.0,0.0,0
312,d,a,11300.0,3.0,2012.0,0,0.0,0.0,0
313,d,c,14160.0,0.0,0.0,0,0.0,0.0,0
314,a,a,3560.0,10.0,2001.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
315,a,c,38710.0,4.0,2013.0,0,0.0,0.0,0
316,d,a,9000.0,8.0,2001.0,0,0.0,0.0,0
317,d,a,3140.0,7.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
318,d,c,32330.0,3.0,2014.0,0,0.0,0.0,0
319,a,c,570.0,9.0,2012.0,1,27.0,2012.0,"Mar,Jun,Sept,Dec"
320,a,c,210.0,9.0,2012.0,0,0.0,0.0,0
321,c,c,8140.0,11.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
322,a,a,17500.0,4.0,2001.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
323,d,c,8400.0,4.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
324,a,a,13140.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
325,a,c,350.0,3.0,2011.0,1,22.0,2011.0,"Feb,May,Aug,Nov"
326,d,a,10070.0,5.0,2015.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
327,c,c,1390.0,12.0,2004.0,0,0.0,0.0,0
328,a,a,3130.0,7.0,2002.0,0,0.0,0.0,0
329,a,a,1310.0,6.0,1990.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
330,a,c,370.0,0.0,0.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
331,a,c,670.0,0.0,0.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
332,a,a,1840.0,3.0,2006.0,0,0.0,0.0,0
333,a,c,3720.0,2.0,2010.0,0,0.0,0.0,0
334,d,c,4040.0,8.0,2008.0,1,18.0,2013.0,"Mar,Jun,Sept,Dec"
335,b,a,90.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
336,a,a,190.0,7.0,2014.0,0,0.0,0.0,0
337,d,c,10600.0,7.0,2005.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
338,a,c,1590.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
339,a,c,2280.0,0.0,0.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
340,a,c,8080.0,0.0,0.0,0,0.0,0.0,0
341,a,a,190.0,9.0,2011.0,0,0.0,0.0,0
342,d,c,15770.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
343,d,a,18650.0,4.0,2004.0,1,14.0,2014.0,"Jan,Apr,Jul,Oct"
344,a,c,300.0,4.0,2011.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
345,a,a,120.0,0.0,0.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
